T,beta,sigmaE,evar_density,emean_density,S
3.4,0.29411764705882354,42.9584782040672,0.005562279518739499,-0.6860405815972208,0.0
3.1043478260869564,0.32212885154061627,44.04634355836343,0.005847560947330077,-0.7776312934027759,1.2185549266446871
2.856,0.350140056022409,48.14555106611883,0.006986623768627798,-0.8799135561342594,2.5097579325898174
2.6444444444444444,0.37815126050420167,52.111862592645274,0.008185179828784306,-0.9975604021990746,3.9139233899954746
2.462068965517241,0.4061624649859944,58.78096626830537,0.010414261415640835,-1.1371365017361157,5.467044242389742
2.303225806451613,0.4341736694677871,74.46181616085163,0.016711763557256898,-1.3688874421296269,7.333189654562809
2.1636363636363636,0.46218487394957986,60.49808701025023,0.0110315952085136,-1.5835123697916664,9.22338437684715
2.04,0.4901960784313726,48.201774258484384,0.007002950911656924,-1.7128038194444408,10.745791397417664
1.9297297297297296,0.5182072829131653,38.179344109433885,0.004393513444693298,-1.7897913049768484,11.955610982402515
1.8307692307692305,0.546218487394958,37.41355764681198,0.004219034215227513,-1.8403989438657422,13.014335096635651
1.7414634146341466,0.5742296918767507,39.160140413816606,0.004622144450562526,-1.8724103009259236,14.086795853787308
1.6604651162790696,0.6022408963585435,38.22202680848015,0.0044033424158111956,-1.8994791666666695,15.170579708441329
1.5866666666666667,0.6302521008403361,46.89293100351935,0.006627806044140705,-1.9085919415509347,16.362665952306862
1.5191489361702126,0.658263305322129,40.817210624778895,0.005021594941127638,-1.9292715567129755,17.5910993084455
1.457142857142857,0.6862745098039216,38.76943160623602,0.004530372380975756,-1.9417444299768685,18.705758163221617
1.4,0.7142857142857143,39.20785056327884,0.004633413947339182,-1.9497739438657804,19.79787696111398
