T,beta,e_mc,e_err,e_exact,e_diff,mabs_mc,mabs_err,sqrt_m2_mc,m_exact,sqrtm2_minus_mexact,cv,chi,chi_conn,m2,m4,binder,left_exchange_ratio,right_exchange_ratio
3.4,0.29411764705882354,-0.6850243055555583,0.0005849864523175521,-0.6859725570759192,0.0009482515203609321,0.08644466145833293,0.0005096590540328229,0.10783652960090982,0.0,0.10783652960090982,0.27282002775302927,1.9700414879493857,0.7040816676799809,0.011628717116367902,0.0003943192241595435,0.028007118814462717,nan,0.437825
3.1308616510138845,0.3194008907024571,-0.7680221354166705,0.0006077025991894409,-0.7683990981893838,0.00037696277271326295,0.10327061631944348,0.0006038362794747138,0.1284473130647564,0.0,0.1284473130647564,0.3472137374388017,3.035349148516511,1.0732897805053512,0.01649871223355554,0.0007882899453755837,0.034694819409162414,0.437825,0.437675
2.9119279797673383,0.3434150868250181,-0.855855034722228,0.0006340113772937553,-0.8545439339010029,-0.0013111008212250974,0.12451844618055499,0.0007262468685009501,0.15473782880517212,0.0,0.15473782880517212,0.4368932248132587,4.736252543988078,1.6692845821966078,0.023943795663338752,0.0016132805859001922,0.0620003902284475,0.437675,0.4478
2.733007625399295,0.3658972593806426,-0.9451006944444423,0.0006714317299219789,-0.944342184399968,-0.0007585100444743587,0.15610503472222143,0.0009056604022000025,0.1936293213628429,0.0,0.1936293213628429,0.5562429261623728,7.901760944963142,2.7658739374946517,0.03749231409143508,0.003890750269394889,0.07736992302714674,0.4478,0.45025
2.584584715684542,0.38690935295388235,-1.0397669270833327,0.000727882779783129,-1.039313968221755,-0.0004529588615778124,0.2088754340277771,0.0011668266711389414,0.2557590636282343,0.0,0.2557590636282343,0.7309435069645053,14.577860103047069,4.854722267747888,0.0654126986279912,0.010855043825861926,0.15435868384186235,0.45025,0.4194
2.4591275462649214,0.4066482852907989,-1.1547942708333312,0.0008435064848480585,-1.143035247355135,-0.011759023478196129,0.3141538628472245,0.0015440158152000276,0.36991405345463374,0.0,0.36991405345463374,1.0843193509760238,32.05111118332121,8.934389880093804,0.13683640694323765,0.03820365374328297,0.3198881817532564,0.4194,0.444425
2.363185009767304,0.42315772817908454,-1.2778771701388927,0.000977251659070739,-1.2480422426476536,-0.02983492749123906,0.4679127604166682,0.0017859673449585139,0.5195933227793414,0.0,0.5195933227793414,1.5760132071225257,65.80393777785237,12.439180527548192,0.26997722107687694,0.11295154466297885,0.4834448756221944,0.444425,0.39525
2.274809363382097,0.4395972761925155,-1.4279457465277712,0.0009948771845882415,-1.3964665871044264,-0.03147915942334478,0.6612150607638855,0.001505802180010204,0.6881020272213739,0.0,0.6881020272213739,1.7627527237167253,119.89005264046872,9.186145119955365,0.4734843998661645,0.26709799750752156,0.6028651240454752,0.39525,0.43575
2.1934795184590183,0.45589666627137165,-1.5575768229166689,0.0008293803544104615,-1.5555615061293064,-0.0020153167873624422,0.7957167968750025,0.0008711246681712303,0.8033099973415972,0.7931208167199734,0.010189180621623883,1.317597575292785,169.4553339228838,3.1883758189273568,0.645306951828957,0.4384332258708134,0.6490465494371263,0.43575,0.468575
2.1069727416772515,0.47461458813366136,-1.6559921874999994,0.0006841577462544381,-1.6552952884412921,-0.0006968990587072899,0.8650251736111101,0.0004879770907903936,0.8672245944616143,0.8648011423127732,0.0024234521488410987,0.9717110221858334,205.6017174977225,1.0415554987032178,0.7520784972391112,0.5751813631681563,0.6610331658226851,0.468575,0.4888
2.015907466725043,0.4960545146571421,-1.7333324652777795,0.000576624222442704,-1.7337870558585782,0.0004545905807986639,0.9057977430555534,0.00030544121338672256,0.9066213436059714,0.9058832697194837,0.0007380738864876113,0.7540272533434986,234.85714000649028,0.42650796429538934,0.8219622606818968,0.6802176873258354,0.6643992599282171,0.4888,0.479175
